gender,phone_use_hours,sleep_hours,person_interaction,social_media_hours,gaming_hours,educational_hours,family_communication,phone_anxiety,phone_during_meals,lose_track_time,performance_impact,phone_before_sleep,phone_after_wakeup,phone_addiction
male,less than 2 hours,4 to 6 hours,rarely,more than 9 hours,7 to 9 hours,more than 9 hours,sometimes,sometimes,always,always,sometimes,rarely,rarely,yes
female,5 to 7 hours,more than 8 hours,always,7 to 9 hours,less than 1 hour,7 to 9 hours,always,often,often,always,rarely,rarely,rarely,no
male,2 to 4 hours,7 to 8 hours,never,4 to 6 hours,less than 1 hour,less than 1 hour,never,rarely,rarely,never,often,rarely,often,yes
male,less than 2 hours,less than 4 hours,never,7 to 9 hours,less than 1 hour,7 to 9 hours,never,sometimes,often,always,often,often,never,yes
male,8 to 10 hours,more than 8 hours,rarely,7 to 9 hours,less than 1 hour,7 to 9 hours,rarely,rarely,always,sometimes,often,always,often,yes
female,more than 10 hours,more than 8 hours,never,more than 9 hours,1 to 3 hours,4 to 6 hours,sometimes,sometimes,always,never,sometimes,sometimes,always,no
male,2 to 4 hours,7 to 8 hours,often,4 to 6 hours,7 to 9 hours,1 to 3 hours,rarely,sometimes,often,rarely,sometimes,often,always,yes
male,less than 2 hours,7 to 8 hours,rarely,1 to 3 hours,7 to 9 hours,more than 9 hours,never,never,sometimes,sometimes,sometimes,sometimes,often,no
female,2 to 4 hours,4 to 6 hours,rarely,4 to 6 hours,less than 1 hour,1 to 3 hours,sometimes,rarely,sometimes,sometimes,rarely,never,sometimes,no
female,2 to 4 hours,more than 8 hours,always,4 to 6 hours,7 to 9 hours,less than 1 hour,always,rarely,sometimes,never,rarely,often,never,no
female,more than 10 hours,more than 8 hours,never,4 to 6 hours,less than 1 hour,7 to 9 hours,often,often,never,sometimes,often,never,often,yes
male,less than 2 hours,more than 8 hours,sometimes,less than 1 hour,more than 9 hours,7 to 9 hours,rarely,never,rarely,often,sometimes,often,never,no
female,more than 10 hours,less than 4 hours,never,1 to 3 hours,1 to 3 hours,4 to 6 hours,often,never,sometimes,rarely,always,rarely,sometimes,no
male,less than 2 hours,7 to 8 hours,rarely,7 to 9 hours,1 to 3 hours,more than 9 hours,always,rarely,always,never,always,never,often,no
male,8 to 10 hours,7 to 8 hours,always,1 to 3 hours,less than 1 hour,1 to 3 hours,often,always,often,always,always,always,sometimes,yes
male,8 to 10 hours,7 to 8 hours,rarely,more than 9 hours,more than 9 hours,1 to 3 hours,rarely,sometimes,sometimes,never,often,often,never,yes
male,less than 2 hours,less than 4 hours,always,less than 1 hour,4 to 6 hours,1 to 3 hours,often,never,often,never,often,often,never,yes
female,less than 2 hours,7 to 8 hours,always,more than 9 hours,4 to 6 hours,more than 9 hours,always,never,never,always,often,always,often,yes
male,5 to 7 hours,more than 8 hours,never,1 to 3 hours,7 to 9 hours,1 to 3 hours,sometimes,sometimes,often,often,rarely,never,rarely,yes
male,5 to 7 hours,more than 8 hours,never,more than 9 hours,7 to 9 hours,7 to 9 hours,never,never,sometimes,rarely,rarely,often,often,yes
female,5 to 7 hours,more than 8 hours,sometimes,less than 1 hour,7 to 9 hours,less than 1 hour,never,rarely,often,never,often,never,sometimes,yes
male,8 to 10 hours,7 to 8 hours,often,less than 1 hour,less than 1 hour,4 to 6 hours,always,always,often,sometimes,always,sometimes,never,no
male,5 to 7 hours,4 to 6 hours,rarely,7 to 9 hours,4 to 6 hours,1 to 3 hours,always,sometimes,always,rarely,rarely,always,always,yes
